model,split,dt,horizon_seconds,runs,rmse_position,rmse_velocity,rmse_roll_pitch,rmse_roll_pitch_rates,rmse_legacy_10_state,rmse_yaw,rmse_yaw_rate,rmse_full_12_state,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_phi,rmse_theta,rmse_psi,rmse_p,rmse_q,rmse_r,worst_window_position_rmse,divergent_windows,windows
dictionary_state13_f100,validation,0.01,0.1,9,0.0007885254935381627,0.01811930434678435,0.004391180653767948,0.025250523783688576,0.015167517018831296,0.005226595799441032,0.01833171257827571,0.014899397960064854,0.0009156826055198914,0.0009909519233928005,0.0002117947434456797,0.020871089657009945,0.023054151237327195,0.004222712077526996,0.004458627155576638,0.0043226819170055055,0.005226595799441032,0.020843987015139117,0.028994932454033354,0.01833171257827571,0.002737389818491536,0,540
dictionary_state13_f100,validation,0.01,0.5,9,0.01614886111139594,0.08428341377501251,0.013603192679273391,0.07867760189564381,0.05902869000793858,0.01927665440299131,0.06626787560832416,0.057450618783399375,0.018612783420863636,0.020607577318184696,0.003353982109154979,0.09816805361301988,0.10667471980379681,0.017164466706618284,0.013461230889794982,0.013743688190238593,0.01927665440299131,0.07155740019084333,0.08520486229098857,0.06626787560832416,0.06536065799686719,0,540
dictionary_state13_f100,validation,0.01,1.0,9,0.06060172720681757,0.15601995435213867,0.01659835027999268,0.09217905871721749,0.1007915446282564,0.020182660196045504,0.09840674632241456,0.09647131792224185,0.07088049482274209,0.0764129628838259,0.012438753086498567,0.1834548858265299,0.19528948662498707,0.03511409614747575,0.014687032179945693,0.018311241076997095,0.020182660196045504,0.08441588142909545,0.09933738820068382,0.09840674632241456,0.2477916320802707,0,540
dictionary_state13_f100,validation,0.01,2.0,9,0.20628037513556452,0.25779302228754036,0.017800460694768174,0.09577597573432547,0.1860124443085077,0.020883109124432052,0.10148209500484258,0.17241930823565255,0.24277146292714605,0.2586424481156386,0.042671774267895285,0.3036578672846213,0.32321223285534445,0.05193726205000418,0.015722088519761306,0.01966033403756821,0.020883109124432052,0.08782964903597473,0.1031117248713341,0.10148209500484258,0.9260473918183184,0,540
dictionary_state13_f100,test,0.01,0.1,9,0.0010344317823639964,0.021477140270624494,0.004864329728001107,0.028563937378600395,0.01751037765010217,0.008432371110727926,0.022536398018651788,0.01742872956905759,0.0011511498057659685,0.0013171951877644149,0.00038729613877432854,0.022178046550721017,0.028319556454423328,0.00948365098635663,0.004945713440705253,0.004781561038809195,0.008432371110727926,0.0246209025375003,0.0320251181945691,0.022536398018651788,0.003838294212742529,0,540
dictionary_state13_f100,test,0.01,0.5,9,0.019297011027491883,0.09588447288403203,0.014354989247679735,0.08517337235750531,0.06604525605570316,0.026366635338088446,0.10294714454584615,0.06764679870710132,0.019826718997513936,0.025787618313589583,0.007682698698482798,0.09631425117772709,0.12988680206454012,0.037874530891704755,0.014590412717299833,0.014115639884215552,0.026366635338088446,0.07836803815151189,0.0914738067087168,0.10294714454584615,0.08844472785044927,0,540
dictionary_state13_f100,test,0.01,1.0,9,0.06716118373890652,0.16516590575591927,0.016353810689983327,0.09959266976816794,0.10758415174523775,0.025809347686131936,0.14412502910888822,0.10691961291512615,0.06624827901603778,0.09290868386383735,0.022605658445093272,0.15766590501730257,0.23261236069186356,0.05359366866480502,0.016458467302862576,0.016248479996855997,0.025809347686131936,0.09051393272704278,0.10791027627333309,0.14412502910888822,0.2968473227438406,0,540
dictionary_state13_f100,test,0.01,2.0,9,0.20164131772203037,0.24197481012298513,0.017750722988759148,0.10604010351872235,0.17909558137541098,0.02799623718341628,0.1469393484465495,0.16909741622811472,0.191241819085756,0.28798574891110973,0.04968337845707209,0.2257458264224979,0.3479112512843951,0.06043185653870078,0.017971275433468388,0.017527395486544504,0.02799623718341628,0.09675249610406585,0.11457731715376925,0.1469393484465495,0.9366030855052451,0,540
dictionary_trig19_f100,validation,0.01,0.1,9,0.0007876580034727791,0.018097909787890182,0.004391157874818186,0.025243234891097206,0.015157409349755346,0.005186855183400757,0.017670853083094205,0.014822935767863202,0.0009156454189249864,0.0009907022559245218,0.00020326804523073362,0.020866943324770026,0.023048829615625988,0.003990632243456129,0.004459171945786774,0.00432207363670076,0.005186855183400757,0.020839588532921977,0.02898539917463138,0.017670853083094205,0.002745110657599981,0,540
dictionary_trig19_f100,validation,0.01,0.5,9,0.01613862422742886,0.08423570439737946,0.013595700631769774,0.07866707770864212,0.05900426395066972,0.01900252296111747,0.06657075846249487,0.057451278927425874,0.018602841542200987,0.02060697881932315,0.0032637840550792576,0.09810299252458679,0.10668317498350148,0.016776910297446115,0.01346916354137564,0.013721070834052542,0.01900252296111747,0.07153734064916038,0.08520227181995244,0.06657075846249487,0.0654946888145857,0,540
