family,replicate,scenario_seed,controller,plant_id,tmax_s,capture_radius_m,intercept_lead_s,controller_period_s,initial_yaw_rad,target_peak_speed_mps,target_peak_acceleration_mps2,captured,capture_time,capture_relative_speed,minimum_separation,final_separation,separation_rmse,qualified_dwell_s,qualified_time_reference,qualified_sample_convention,qualified_capture_speed_2p0_mps,qualified_capture_time_speed_2p0_mps_s,qualified_capture_speed_3p0_mps,qualified_capture_time_speed_3p0_mps_s,qualified_capture_speed_5p0_mps,qualified_capture_time_speed_5p0_mps_s,failure_aware_capture_time_s,mean_solve_ms,p95_solve_ms,failed_solves,allocator_altered_steps
accelerating,0,801000,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,2.823030083875133,2.2897334987859956,0.11561317019510652,1,3.27,0.9473896823942007,0.008276217184250293,0.047179447225118555,3.0327986465882772,0.2,dwell_end,elapsed_interval,1,3.47,1,3.47,1,3.47,3.27,2.8926631500507938,3.115145000629127,0,0
accelerating,0,801000,Linear MPC,nominal,20.0,0.75,0.0,0.01,2.823030083875133,2.2897334987859956,0.11561317019510652,1,3.2800000000000002,1.1508429450500461,0.006763487912813961,0.01015147755151615,3.1439659246821643,0.2,dwell_end,elapsed_interval,1,3.48,1,3.48,1,3.48,3.2800000000000002,4.2048833499866305,4.678194996085949,0,0
accelerating,0,801000,PID,nominal,20.0,0.75,0.0,0.01,2.823030083875133,2.2897334987859956,0.11561317019510652,1,2.18,9.368892504377062,0.050544637833976155,0.9341321957690514,4.425017921749347,0.2,dwell_end,elapsed_interval,1,15.09,1,14.91,1,11.57,2.18,0.0,0.0,0,0
accelerating,1,801001,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-2.8817929453832853,2.6802160654138745,0.11643978722743827,1,3.0,0.9420014844229804,0.0066358590036371375,0.06890909785008244,2.3732078980951647,0.2,dwell_end,elapsed_interval,1,3.2,1,3.2,1,3.2,3.0,2.9018779002071824,3.2046100110164843,0,0
accelerating,1,801001,Linear MPC,nominal,20.0,0.75,0.0,0.01,-2.8817929453832853,2.6802160654138745,0.11643978722743827,1,2.94,1.155805229457851,0.007028394756394036,0.011028411018080966,2.4483899877493913,0.2,dwell_end,elapsed_interval,1,3.14,1,3.14,1,3.14,2.94,4.118356350110844,4.7836999874562025,0,0
accelerating,1,801001,PID,nominal,20.0,0.75,0.0,0.01,-2.8817929453832853,2.6802160654138745,0.11643978722743827,1,1.98,8.49890218811056,0.13178250167939173,1.0346376752327995,3.495042021891639,0.2,dwell_end,elapsed_interval,1,13.530000000000001,1,10.71,1,10.450000000000001,1.98,0.0,0.0,0,0
accelerating,2,801002,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,-3.0537900474247146,2.466404541628091,0.09851419451701837,1,3.15,0.9548581599304952,0.006283209269592519,0.06349916335486706,2.787045700656352,0.2,dwell_end,elapsed_interval,1,3.35,1,3.35,1,3.35,3.15,2.9039650497870753,3.1868199919699687,0,0
accelerating,2,801002,Linear MPC,nominal,20.0,0.75,0.0,0.01,-3.0537900474247146,2.466404541628091,0.09851419451701837,1,3.11,1.169132685072729,0.006266800503487382,0.009916058286741088,2.893208352046075,0.2,dwell_end,elapsed_interval,1,3.31,1,3.31,1,3.31,3.11,4.398957349505508,5.391509989567567,0,0
accelerating,2,801002,PID,nominal,20.0,0.75,0.0,0.01,-3.0537900474247146,2.466404541628091,0.09851419451701837,1,2.07,8.747814248720475,0.08894924051156122,0.9274674293490326,3.8040880225532483,0.2,dwell_end,elapsed_interval,1,13.76,1,11.82,1,10.63,2.07,0.0,0.0,0,0
accelerating,3,801003,EDMDc-MPC,nominal,20.0,0.75,0.0,0.01,2.6268859527841606,2.549004630682171,0.11460636327017175,1,3.2,0.9572317180721231,0.01550903415844182,0.06917711171768755,2.761999565431214,0.2,dwell_end,elapsed_interval,1,3.4,1,3.4,1,3.4,3.2,2.9510306001175195,3.460230007476639,0,0
